Rank,Company Name,Revenue,Profit,Assets,Market Value
249,Société Générale,$84.6 B,$1.9 B,"$1,716.7 B",$20.9 B
250,KB Financial Group,$36.8 B,$3 B,$543.9 B,$22.6 B
251,Inditex,$38.9 B,$5.8 B,$35.6 B,$146.1 B
252,Al Rajhi Bank,$14 B,$4.3 B,$222.9 B,$85.5 B
253,MS&AD Insurance,$43 B,$2.5 B,$183.3 B,$28.4 B
254,Air Liquide,$29.8 B,$3.3 B,$53.4 B,$105.6 B
255,Fiserv,$19.4 B,$3.2 B,$92.7 B,$89.4 B
256,China Railway Group,$178.2 B,$4.5 B,$257.9 B,$14.5 B
257,Orange,$47.7 B,$2.4 B,$125.6 B,$31.2 B
258,Safran,$25.6 B,$3.7 B,$55.7 B,$93.8 B
259,Indian Oil,$93.8 B,$5 B,$57.8 B,$27.8 B
260,Emirates NBD,$20.2 B,$5.7 B,$234.9 B,$28.6 B
260,EssilorLuxottica,$27.5 B,$2.5 B,$66.9 B,$102.6 B
262,Cencora,$276.5 B,$1.9 B,$63.9 B,$44.3 B
263,SLB,$34.1 B,$4.3 B,$47.9 B,$69.5 B
264,Saint-Gobain,$51.8 B,$2.9 B,$63.3 B,$44.4 B
265,Danske Bank,$26.2 B,$3.2 B,$537.1 B,$25.1 B
266,Macquarie Group,$19.6 B,$2.2 B,$264 B,$46.6 B
267,Zijin Mining Group,$40.2 B,$3.1 B,$49.2 B,$63.2 B
268,TJX Cos,$54.2 B,$4.5 B,$29.7 B,$113.6 B
269,Banorte,$27 B,$3.1 B,$144.1 B,$30.3 B
269,Kweichow Moutai,$18.6 B,$10.9 B,$39.5 B,$298.2 B
271,Fubon Financial,$27 B,$2.1 B,$361.2 B,$30.1 B
271,SAIC Motor,$102.8 B,$2 B,$132.8 B,$23.1 B
273,Automatic Data Processing,$18.9 B,$3.7 B,$64.2 B,$103.3 B
273,Kraft Heinz Company,$26.6 B,$2.8 B,$90.3 B,$43.7 B
275,Holcim,$30.1 B,$3.4 B,$62.6 B,$48.6 B
276,ABB,$32.3 B,$3.6 B,$41.1 B,$96.7 B
277,EOG Resources,$23.5 B,$7.4 B,$44.8 B,$74.7 B
278,Applied Materials,$26.5 B,$7.3 B,$31.9 B,$176.2 B
279,E.ON,$89.8 B,$1.3 B,$123.1 B,$36.1 B
